name,size,totalRevenue,industry,businessType,country,website
BinaryForge,LARGE,55274435,Software Development,B2C,HK,https://binaryforge.com
CodeCrafters,MEDIUM,13443863,Software Development,B2B,DK,https://codecrafters.com
NextGenSoftworks,MEDIUM,39781934,Software Development,B2B,DE,https://nextgensoftworks.com
PixelLogic,MEDIUM,5367836,Software Development,B2C,SG,https://pixellogic.com
DevNexus,MICRO,447161,Software Development,B2C,NL,https://devnexus.com
Syntax Innovations,MEDIUM,29919464,Software Development,B2B,CA,https://syntaxinnovations.com
AgileMind Studios,LARGE,214578133,Software Development,B2C,US,https://agilemindstudios.com
QuantumCode Labs,SMALL,4618696,Software Development,B2C,NL,https://quantumcodelabs.com
Skyline Software Solutions,MEDIUM,34590944,Software Development,B2C,SG,https://skylinesoftwaresolutions.com
EchoByte Technologies,SMALL,3213529,Software Development,B2B,CZ,https://echobytetechnologies.com
SiliconForge,MICRO,224133,Hardware & Semiconductor,B2B,EE,https://siliconforge.ee
QuantumCircuits,SMALL,2712771,Hardware & Semiconductor,B2B,DK,https://quantumcircuits.com
NextGen Chips,SMALL,2216830,Hardware & Semiconductor,B2C,KR,https://nextgenchips.com
Precision Silicon,MICRO,143289,Hardware & Semiconductor,B2C,US,https://precisionsilicon.com
NanoCore Technologies,SMALL,1242685,Hardware & Semiconductor,B2B,CA,https://nanocoretechnologies.com
Vortex Semiconductors,SMALL,4162863,Hardware & Semiconductor,B2B,JP,https://vortexsemiconductors.com
TitanChip Solutions,SMALL,3634172,Hardware & Semiconductor,B2B,AT,https://titanchipsolutions.com
HyperLogic Systems,MEDIUM,31131521,Hardware & Semiconductor,B2B,KR,https://hyperlogicsystems.com
Vertex Microelectronics,MICRO,490663,Hardware & Semiconductor,B2B,NZ,https://vertexmicroelectronics.com
Infinity Circuits,LARGE,232209837,Hardware & Semiconductor,B2B,CN,https://infinitycircuits.com
TechSavvy Solutions,LARGE,313663286,IT Services & Consulting,B2B,SG,https://techsavvysolutions.com
DigitalBridge Consulting,LARGE,145215914,IT Services & Consulting,B2C,SE,https://digitalbridgeconsulting.se
Nexus IT Services,SMALL,858633,IT Services & Consulting,B2B,NL,https://nexusitservices.com
CloudStride Consulting,MEDIUM,26879113,IT Services & Consulting,B2C,KR,https://cloudstrideconsulting.com
ByteLogic Advisors,LARGE,130207034,IT Services & Consulting,B2B,FR,https://bytelogicadvisors.com
FuturePath IT,MEDIUM,40393597,IT Services & Consulting,B2C,IL,https://futurepathit.com
InfiniTech Solutions,LARGE,194303952,IT Services & Consulting,B2C,NL,https://infinitechsolutions.nl
Apex IT Consulting,MICRO,36972,IT Services & Consulting,B2C,IL,https://apexitconsulting.com
Synergy Systems,SMALL,3507322,IT Services & Consulting,B2B,DK,https://synergysystems.com
Quantum IT Group,LARGE,84915450,IT Services & Consulting,B2B,IL,https://quantumitgroup.com
ShieldGuard Security,MICRO,457555,Cybersecurity,B2B,IS,https://shieldguardsecurity.com
CyberSentinel Solutions,LARGE,250679110,Cybersecurity,B2B,AT,https://cybersentinelsolutions.com
Fortress Cyber Defense,MEDIUM,19756355,Cybersecurity,B2B,SE,https://fortresscyberdefense.com
IronWall Security,LARGE,66531098,Cybersecurity,B2B,SE,https://ironwallsecurity.com
DarkNet Defenders,MICRO,269380,Cybersecurity,B2C,IL,https://darknetdefenders.com
Phantom Shield,SMALL,920356,Cybersecurity,B2B,KR,https://phantomshield.com
NextGen Cyber Armor,MICRO,302380,Cybersecurity,B2C,FI,https://nextgencyberarmor.com
ByteSafe Technologies,MICRO,220637,Cybersecurity,B2B,HK,https://bytesafetechnologies.com
SentinelX Security,SMALL,2219074,Cybersecurity,B2B,CH,https://sentinelxsecurity.com
Quantum Shield Systems,MEDIUM,29229311,Cybersecurity,B2C,SE,https://quantumshieldsystems.com
ConnectWave Networks,LARGE,69043889,Telecommunications,B2C,NZ,https://connectwavenetworks.com
InfinityTel Solutions,LARGE,67998527,Telecommunications,B2B,GB,https://infinitytelsolutions.com
SkyBridge Communications,SMALL,3181068,Telecommunications,B2C,AT,https://skybridgecommunications.com
QuantumTel Systems,LARGE,121756595,Telecommunications,B2C,PT,https://quantumtelsystems.com
GlobalLink Telecom,SMALL,829416,Telecommunications,B2C,AU,https://globallinktelecom.au
Vertex Connect,SMALL,1345317,Telecommunications,B2C,IS,https://vertexconnect.com
BlueSignal Networks,MEDIUM,45909564,Telecommunications,B2C,CH,https://bluesignalnetworks.com
NexusCom Solutions,LARGE,431819400,Telecommunications,B2B,SE,https://nexuscomsolutions.se
HyperNet Communications,MICRO,47110,Telecommunications,B2B,GB,https://hypernetcommunications.com
OmniWave Telecom,SMALL,1878904,Telecommunications,B2B,IL,https://omniwavetelecom.com
Nimbus Cloud Solutions,MICRO,145727,Cloud Computing,B2B,NL,https://nimbuscloudsolutions.com
SkyScale Computing,MEDIUM,23825054,Cloud Computing,B2C,CH,https://skyscalecomputing.com
QuantumCloud Systems,SMALL,3395323,Cloud Computing,B2B,KR,https://quantumcloudsystems.com
CloudMatrix Technologies,SMALL,1043091,Cloud Computing,B2B,SG,https://cloudmatrixtechnologies.com
StratusNet Services,SMALL,1529947,Cloud Computing,B2C,NO,https://stratusnetservices.com
Vertex Cloud Solutions,MEDIUM,12101881,Cloud Computing,B2C,IS,https://vertexcloudsolutions.com
HyperCloud Dynamics,MEDIUM,34161026,Cloud Computing,B2C,CN,https://hyperclouddynamics.com
OmniCloud Innovations,SMALL,596144,Cloud Computing,B2C,US,https://omnicloudinnovations.us
Elevate Cloud Services,MICRO,240736,Cloud Computing,B2C,KR,https://elevatecloudservices.com
BlueHorizon Cloud,SMALL,2366449,Cloud Computing,B2B,HK,https://bluehorizoncloud.hk
InsightSphere Analytics,MEDIUM,18968838,Data & Analytics,B2B,SE,https://insightsphereanalytics.com
DataVista Solutions,SMALL,4417515,Data & Analytics,B2B,GB,https://datavistasolutions.com
Quantum Data Insights,MEDIUM,20219108,Data & Analytics,B2C,SE,https://quantumdatainsights.com
Nexus Analytics,MICRO,393408,Data & Analytics,B2C,IL,https://nexusanalytics.com
BrightMetrics,SMALL,690654,Data & Analytics,B2C,SE,https://brightmetrics.com
DataPulse Technologies,LARGE,178084609,Data & Analytics,B2B,SE,https://datapulsetechnologies.com
InfoGenius Analytics,SMALL,3791940,Data & Analytics,B2B,US,https://infogeniusanalytics.com
OmniData Systems,MEDIUM,45570159,Data & Analytics,B2C,NZ,https://omnidatasystems.com
NextGen Insights,MEDIUM,22598843,Data & Analytics,B2B,KR,https://nextgeninsights.com
Precision Analytics Group,MEDIUM,47271724,Data & Analytics,B2C,JP,https://precisionanalyticsgroup.com
NeuralEdge AI,LARGE,342777598,Artificial Intelligence & Machine Learning,B2B,SG,https://neuraledgeai.com
Synapse AI Systems,LARGE,194959841,Artificial Intelligence & Machine Learning,B2B,PT,https://synapseaisystems.com
CognitiveWave Solutions,MEDIUM,21222577,Artificial Intelligence & Machine Learning,B2B,SG,https://cognitivewavesolutions.com
QuantumMind AI,MICRO,360645,Artificial Intelligence & Machine Learning,B2B,SG,https://quantummindai.com
DeepLogic Innovations,SMALL,2373580,Artificial Intelligence & Machine Learning,B2C,FR,https://deeplogicinnovations.com
Apex Machine Learning,SMALL,2942498,Artificial Intelligence & Machine Learning,B2C,US,https://apexmachinelearning.com
OmniBrain Technologies,SMALL,2533474,Artificial Intelligence & Machine Learning,B2B,HK,https://omnibraintechnologies.com
